"Time","Strain Gauge 1","Strain Gauge 2","Temperature (C)","Acceleration (m/s^2)"
0.4,21.36,49.95,36.0,24.14
1.4,21.99,48.73,25.0,14.2
2.4,23.41,49.46,16.0,8.35
3.4,23.22,49.95,9.0,4.91
4.4,22.19,49.12,4.0,2.89
5.4,23.26,50.0,1.0,1.7
6.41,21.65,49.07,0.0,1.0
7.41,22.73,48.97,1.0,1.7
8.41,21.85,48.24,4.0,2.89
9.41,20.38,24.78,9.0,4.91
10.41,19.84,16.03,16.0,8.35
11.41,19.6,15.74,25.0,14.2
12.41,19.84,15.64,36.0,24.14
13.41,19.7,15.49,49.0,41.03
14.42,21.07,15.44,36.0,24.14
15.42,36.8,15.84,25.0,14.2
16.42,40.27,15.74,16.0,8.35
17.42,44.04,16.08,9.0,4.91
18.42,29.62,15.79,4.0,2.89
19.42,13.73,15.05,1.0,1.7
20.42,7.62,15.2,0.0,1.0
21.42,7.87,15.49,1.0,1.7
22.43,7.38,0.24,4.0,2.89
23.43,7.38,0.34,9.0,4.91
24.43,8.8,17.3,16.0,8.35
25.43,8.11,37.68,25.0,14.2
26.43,7.77,39.0,36.0,24.14
27.43,8.7,38.95,49.0,41.03
28.43,8.8,39.39,36.0,24.14
29.44,8.8,38.81,25.0,14.2
30.44,8.21,39.15,16.0,8.35
31.44,9.14,38.95,9.0,4.91
32.44,8.75,39.2,4.0,2.89
33.44,8.02,39.2,1.0,1.7
34.44,9.04,38.95,0.0,1.0
35.44,8.9,39.2,1.0,1.7
36.44,7.82,39.49,4.0,2.89
37.45,8.21,39.25,9.0,4.91
38.45,8.8,39.05,16.0,8.35
39.45,7.77,39.49,25.0,14.2
40.45,8.41,39.1,36.0,24.14
41.45,8.55,39.3,49.0,41.03
42.45,8.41,38.81,36.0,24.14
43.45,8.21,39.2,25.0,14.2
44.46,7.67,39.44,16.0,8.35
46.47,8.46,39.2,9.0,4.91
47.47,8.85,38.95,4.0,2.89
48.47,7.77,39.54,1.0,1.7
49.47,8.41,39.2,0.0,1.0
50.47,8.41,39.25,1.0,1.7
51.47,8.75,39.25,4.0,2.89
52.47,8.21,39.54,9.0,4.91
53.47,8.6,39.25,16.0,8.35
54.47,9.19,38.86,25.0,14.2
55.48,8.55,39.2,36.0,24.14
56.48,7.77,39.1,49.0,41.03
57.48,8.26,38.95,36.0,24.14
58.48,8.55,39.44,25.0,14.2
59.48,8.9,39.15,16.0,8.35
60.48,8.06,39.44,9.0,4.91
61.48,8.5,39.3,4.0,2.89
62.48,9.14,38.86,1.0,1.7
63.48,8.26,39.44,0.0,1.0
64.48,8.26,39.3,1.0,1.7
65.49,8.7,39.2,4.0,2.89
66.49,8.5,39.15,9.0,4.91
67.49,8.06,39.49,16.0,8.35
68.49,8.5,39.3,25.0,14.2
